X,Y,OBJECTID,id,ask,bedrooms,title,address,posting_da,created_at,updated_at,source_id,survey_id,XCoord,YCoord,Loc_ID,geog_code,OBJECTID_2,Name,Acres,SHAPE_area,SHAPE_len
234109.47695467210724,899977.043625263730064,1,13351.00000000000,2250.00000000000,2.00000000000,BACK BAY APT,,2015-10-30 20:15:19,2015-11-03 21:01:00.859394,2015-11-03 21:01:00.859394,0.00000000000,18.00000000000,234109.47695499999,899977.04362500005,0,234109.476955_899977.043625,11,Back Bay,399.31281380,17394066.16970000044,19455.67114640000
229776.698231028189184,899766.407690129010007,2,12697.00000000000,1995.00000000000,2.00000000000,"RENOVATED, LARGE TWO BEDROOM APARTMEN + STUDY, INCLUDES ALL, NO FEES.",,2015-11-03 20:06:10,2015-11-03 20:54:01.869023,2015-11-03 20:54:01.869023,0.00000000000,18.00000000000,229776.69823099999,899766.40769000002,0,229776.698231_899766.40769,25,Allston,998.53048455,43495987.90139999986,37859.09124160000
229776.779177028220147,899747.302709139650688,3,12704.00000000000,1895.00000000000,2.00000000000,Half Fee! Rare 2 bed + Office w/ Carpet & Laundry! Dog OK (avail now),,2015-11-02 19:37:47,2015-11-03 20:54:01.908894,2015-11-03 20:54:01.908894,0.00000000000,18.00000000000,229776.77917699999,899747.30270899995,0,229776.779177_899747.302709,25,Allston,998.53048455,43495987.90139999986,37859.09124160000
235795.67604859257699,903517.610383772989735,6,12728.00000000000,2300.00000000000,2.00000000000,2 BED WITH PARKING- CHARLESTOWN!!!! Nov 1- 2300,,2015-11-03 20:39:19,2015-11-03 20:54:07.271071,2015-11-03 20:54:07.271071,0.00000000000,18.00000000000,235795.67604900000,903517.61038400000,0,235795.676049_903517.610384,13,Charlestown,871.53773669,37964183.80820000172,57509.68864510000
227140.71175431687152,900207.596267438144423,7,12730.00000000000,1600.00000000000,2.00000000000,Amazing 2 bedroom w sunroom W/D in unit Oak Square,,2015-11-03 20:38:02,2015-11-03 20:54:12.510015,2015-11-03 20:54:12.510015,0.00000000000,18.00000000000,227140.71175399999,900207.59626699996,0,227140.711754_900207.596267,18,Brighton,1840.40123464,80167877.77959999442,48787.51965150000
227121.844563925464172,900207.523426255211234,8,12731.00000000000,1700.00000000000,2.00000000000,Laundry Spare rooms ... Dishwasher - Cat OK - ASAP,,2015-11-03 13:02:43,2015-11-03 20:54:12.517741,2015-11-03 20:54:12.517741,0.00000000000,18.00000000000,227121.84456400000,900207.52342600003,0,227121.844564_900207.523426,18,Brighton,1840.40123464,80167877.77959999442,48787.51965150000
227126.516324916767189,900213.872869637561962,9,12732.00000000000,1700.00000000000,2.00000000000,Laundry Cat Ok Extra rooms! Dishwasher - ASAP Nov 1st,,2015-10-27 14:55:22,2015-11-03 20:54:12.52331,2015-11-03 20:54:12.52331,0.00000000000,18.00000000000,227126.51632500000,900213.87286999996,0,227126.516325_900213.87287,18,Brighton,1840.40123464,80167877.77959999442,48787.51965150000
228899.022501117287902,900806.428284257184714,12,12743.00000000000,1800.00000000000,2.00000000000,"AVAILABLE NOW! ALL UTILITIES INCLUDED!  OPEN LAYOUT, A/C IN EVERY ROOM",,2015-11-03 20:36:31,2015-11-03 20:54:23.036684,2015-11-03 20:54:23.036684,0.00000000000,18.00000000000,228899.02250100000,900806.42828400002,0,228899.022501_900806.428284,18,Brighton,1840.40123464,80167877.77959999442,48787.51965150000
236288.559963152132696,896703.947488417616114,13,12746.00000000000,1800.00000000000,2.00000000000,HALF FEE~Beautiful 2 Bed 2 Bath in Convenient Location w/Easy Parking,,2015-11-03 18:13:08,2015-11-03 20:54:28.283128,2015-11-03 20:54:28.283128,0.00000000000,18.00000000000,236288.55996300001,896703.94748800003,0,236288.559963_896703.947488,22,Dorchester,4662.86080579,203114216.70800000429,104344.03400499999
234893.499272231158102,898956.20024378458038,15,12785.00000000000,3100.00000000000,2.00000000000,Large South End 2 Bed Duplex With Backyard!,,2015-11-03 20:33:37,2015-11-03 20:54:44.315766,2015-11-03 20:54:44.315766,0.00000000000,18.00000000000,234893.49927199999,898956.20024399995,0,234893.499272_898956.200244,10,South End,471.53346946,20539997.92980000004,17912.33356950000
234862.847526775032748,899420.68618192395661,16,12787.00000000000,2600.00000000000,2.00000000000,"South End 2 Bed Penthouse w/ Roofdeck, Central Air, W/D",,2015-11-03 20:33:22,2015-11-03 20:54:49.561644,2015-11-03 20:54:49.561644,0.00000000000,18.00000000000,234862.84752700001,899420.68618199998,0,234862.847527_899420.686182,10,South End,471.53346946,20539997.92980000004,17912.33356950000
